!,15417.0
"(adjective),",10.0
"(adv.),",2.0
(adverb,4.0
(adverb),2.0
"(adverb),",2.0
(aka,1.0
(all,2.0
(attribute,1.0
(b),1.0
(bibliographic,1.0
(c),1.0
(category,2.0
(category),1.0
(character),1.0
(classCode),1.0
(classification,1.0
(correction),1.0
(d),1.0
(description),1.0
(determiner),2.0
"(determiner),",2.0
(domain:,149.0
(duration,9.0
(duration),4.0
(e),1.0
(e.g.,62.0
(edition,1.0
(editor),1.0
(editorial,1.0
(except,2.0
(f),1.0
(for,4.0
(friend's),3.0
(g),1.0
(general,2.0
(generic,3.0
(heading),1.0
(headteacher),1.0
(highlighted),1.0
(identifying,1.0
(indefinite,4.0
(innermost,1.0
(language,1.0
(line,1.0
(locale),1.0
(machine,1.0
"(name,",1.0
(namespace),1.0
(none),144.0
(not,1.0
(number),2.0
"(number),",2.0
(omitted,1.0
(only,1.0
(or,2.0
(outermost,1.0
(page,1.0
(paragraph),1.0
(participation,1.0
(personal,1.0
(place,1.0
(plural,4.0
(policeman),1.0
(preposition),4.0
"(preposition),",4.0
(private,1.0
(project,1.0
(proper,4.0
(psv),1.0
(pt),4.0
(publication,1.0
(quotation),1.0
(recording,2.0
(references,1.0
(relationship),1.0
(revision,1.0
(s-unit),1.0
(sampling,1.0
(see,2.0
(setting,1.0
(setting),1.0
(singular,16.0
(speech),1.0
(stage,1.0
(state,11.0
(statement,1.0
(subordinating,8.0
(tagUsage),1.0
(tagging,1.0
(taxonomy),1.0
(text,2.0
(text-profile,1.0
(the,3.0
(these,1.0
(title,1.0
(utterance),1.0
(value,2.0
(verb,16.0
(verb),2.0
"(verb),",2.0
(verse,1.0
(wh-,4.0
(word),1.0
),11863.0
"),;",2.0
);,2.0
)Q;,1.0
*,94.0
**,1.0
****,4.0
*TEI-conformant*,1.0
*general*,1.0
*is,1.0
*large*,1.0
*lsqb,1.0
*monolingual*,1.0
*sample*,1.0
*synchronic*,1.0
+,229.0
++,3.0
+10.80,1.0
+100,2.0
+11,1.0
+18.22%,1.0
+2,3.0
+20.95,1.0
+21.72%,1.0
+24.80%,1.0
